Product,Regular price,Sale price
Bonne Maman Sinaasappel marmelade,3.29,NA
Bonne Maman Viervruchten confiture,3.29,NA
Calvé Pindakaas stukjes pinda,3.59,NA
Nutella Hazelnootpasta,2.99,NA
De Ruijter Anijshagel,2.49,NA
Timson Rinse appelstroop,2.85,NA
AH Bakbloedworst dikke plak,1.24,NA
AH Bapao kip,1.09,0.99
AH Boerenleverworst,1.99,NA
AH Americain martino bel,2.5,NA
AH Duitse theeworst,1.99,NA
AH Fijne cervelaat,2.49,NA
AH Goudsalami,2.49,NA
AH Ah saksische leverworst,0.89,NA
AH Pain d'ardenne,2.69,NA
AH Champignonragout,1.59,NA
AH Duitse knakworst,2.49,NA
AH Luncheon meat,1.99,NA
Unox Schouderhammix,5.59,NA
Unox Smac XXL de enige echte,3.69,NA
AH Smeerkaas sambal,0.69,NA
AH Eendenborstfilet scharrel,7.99,NA
Parrano Geraspte kaas originale,2.49,NA
AH Verse scharreleieren S M,4.09,NA
Natuurfarm de Boed Mais-scharreleieren L,3.89,NA
Natuurfarm de Boed Mais-scharreleieren M,2.59,NA
AH Chocoladevla,0.99,NA
AH Halfvolle melk,0.89,NA
AH Halfvolle melk,1.75,NA
AH Magere yoghurt,0.85,NA
AH Vanillevla,0.89,NA
AH Volle melk,0.99,NA
AH Volle yoghurt,0.99,NA
Almhof Volle kwark citroen,2.99,NA
Almhof Volle kwark vanille,2.99,NA
Douwe Egberts Aroma rood oploskoffie,6.49,NA
Douwe Egberts Aroma rood grove maling filterkoffie,7.09,NA
Perla Huisblends Mild snelfiltermaling,3.99,NA
Perla Huisblends Decaf snelfiltermaling,7.29,NA
Perla Huisblends Aroma grove maling snelfiltermaling,3.79,NA
Droste Cacao,3.25,NA
Vruchtenwijn frambozen-bessen,3.99,NA
Jerez Sherry 887 Fino,7.29,NA
Moselland Piesporter Michelsberg,4.19,NA
Sélection Clémence Moelleux,3.09,NA
Jerez Sherry medium,4.55,NA
Undurraga Merlot,5.29,NA
Spaanse wijn vino tinto dulce,4.29,NA
AH Volle koffiemelk,0.95,NA
AH Biologisch Volle koffiemelk,1.15,NA
AH Slagroom houdbaar,0.99,NA
Bavaria 0.0% Bier,0.84,0.63
LU Tuc bacon,1.29,NA
AH Roomboter hazelnootzandjes,2.79,NA
AH Tarwe biscuit,0.95,NA
AH Bakkersmakronen kokoskoek,3.39,NA
AH Reep melk,0.69,NA
Delicata Reep melkchocolade butterscotch,1.49,NA
Delicata Reep pure chocolade hazelnoot,1.49,NA
Delicata Reep melkchocolade hazelnoot,1.49,NA
Delicata Reep melk chocolade,1.39,NA
Delicata Reep krachtige pure Belgische chocolade,1.39,NA
Delicata Reep crispy witte chocolade,1.39,NA
Merci Finest Selection melk,4.29,3.65
Toffifee Toffifee,1.99,NA
AH Droppastilles suikervrij,1.49,NA
Dextro Energy citroen,2.29,NA
Jersey Chocolate eclairs,1.49,NA
AH Extra lang lekker tijger wit half,0.75,NA
Van Gilse Geleisuiker speciaal,2.19,NA
Natrena Zoetjes,1.59,NA
Natrena Classic zoetjes navul,3.99,NA
AH Mix voor pannenkoeken meergranen,0.75,NA
AH Zilvervliesrijst,1.19,NA
Grand' Italia Pesto rosso,2.69,2.02
Koopmans Mix voor poffertjes origineel,1.95,NA
Lassie Dessertrijst,1.85,NA
Soubry Chinese eiermie,0.99,NA
Soubry Chinese mie,0.79,NA
AH Tarwebloem,0.89,NA
Castello Creamy blue,2.99,NA
Apetina Classic olie,2.99,2.24
AH Cashewnoten gezouten,3.89,NA
AH Cashewnoten ongezouten,4.19,NA
AH Chocoladerozijnen melk,3.79,NA
AH Champignonsoep,1.99,NA
AH Groentesoep,1.99,NA
Honig Basis voor Limburgse aspergesoep,1.99,NA
Honig Basis voor Franse champignonsoep,1.99,NA
Honig Basis voor juliennesoep,1.99,NA
Honig Basis voor tomaten-cremesoep,1.99,NA
Honig Basis voor tomaten-groentesoep,1.99,NA
Honig Basis voor vermicellisoep,1.85,NA
Knorr Aromat navulzakje,0.55,NA
Maggi Smaakverfijner,1.39,NA
Knorr Knapper-bolletjes,1.09,NA
Zonnatura Groentesap,3.15,NA
Knorr Smaakverfijner aromat natriumarm,2.49,NA
Roosvicee Fruitkracht ferro siroop,3.99,NA
Roosvicee Fruitkracht pruimen siroop,3.99,NA
Dixap Appel,4.65,NA
AH Augurken groot zoetzuur,2.15,NA
AH Augurken klein zuur,0.85,NA
AH Natuurazijn wit 6 maanden gerijpt,0.99,NA
AH Slasaus naturel,1.19,NA
Honig Basis voor italiaanse kruidensaus,1.99,NA
Honig Basis voor kip kerrie,1.99,NA
Honig Basis voor macaroni stroganoff,1.99,NA
Honig Basis voor spaghettisaus bolognese,1.99,NA
Knorr Mix voor nasi goreng,1.49,NA
Kühne Mierikswortel,1.59,NA
Maggi Jus rundvlees juspoeder,0.69,NA
Marne Franse mosterd,1.59,NA
AH Arachide olie,4.49,NA
AH Huzarensalade,2.05,NA
AH Rundvleessalade,2.39,NA
AH Bakgember gesneden,1.59,NA
AH Stemgember,2.59,NA
John West Wilde roze zalm,6.79,NA
John West Wilde rode zalm,6.79,NA
Conimex Mix voor Bami Goreng 48G 20x,0.95,NA
Conimex Ketoembar,2.25,NA
Conimex Bami kruidenmix,0.99,NA
Conimex Mix voor babi ketjap,1.69,NA
Conimex Mix voor babi pangang,1.49,NA
Conimex Mix voor tjap tjoy,1.69,NA
Conimex Marinademix saté,0.89,NA
AH Aardbeien op sap,2.09,NA
AH Halve perziken op lichte siroop,2.19,NA
